first_name,last_name,zipcode,next_meter_reading
Steven,Hays,02436,2021-12-01
Catherine,Lewis,30787,2021-11-15
Jason,Black,01493,2021-11-24
James,Williams,30567,2021-11-29
Randy,Dillon,31973,2021-11-18
Daniel,Graham,61812,2021-11-11
Zachary,Ellison,02387,2021-11-19
Wesley,Martinez,31274,2021-12-01
Zoe,Wilkins,31189,2021-11-18
Carol,Smith,60422,2021-11-11
Leslie,Mahoney,02085,2021-11-10
Dakota,Perez,62395,2021-11-30
Teresa,Lucero,61136,2021-11-29
Dale,Dixon,01575,2021-11-28
Courtney,Foster,61004,2021-11-24
Edward,Smith,02637,2021-11-21
Jeanette,Rivera,60932,2021-11-20
Amy,Moore,31605,2021-11-23
Gary,Green,31163,2021-11-22
April,Horton,31772,2021-12-04
Paul,Curtis,31754,2021-12-02
Cory,Salinas,60743,2021-11-18
Christopher,Cox,62407,2021-11-11
Glen,Nelson,62594,2021-12-07
David,Barton,30146,2021-11-22
Dawn,Edwards,62927,2021-11-10
Nicole,Alexander,02399,2021-11-14
Amy,Haynes,31523,2021-12-07
Susan,Hill,60856,2021-12-05
Austin,Campbell,61306,2021-12-01
Austin,Garcia,30482,2021-11-21
Matthew,Owens,01552,2021-12-02
Jennifer,Jordan,31545,2021-11-16
Herbert,Frazier,30818,2021-11-22
Brandon,Hall,01824,2021-11-26
Andrew,Brown,62459,2021-11-23
Rachel,Bradley,30117,2021-11-09
Annette,Francis,31065,2021-11-17
Nicole,Rodriguez,02133,2021-11-26
Melissa,Brooks,60085,2021-11-16
Mark,Carey,62609,2021-12-04
Albert,Dominguez,02369,2021-11-14
Matthew,Stokes,61225,2021-11-20
Terri,Smith,01067,2021-12-06
Sara,Moreno,30119,2021-11-09
David,Williams,61689,2021-11-10
Virginia,Adams,30022,2021-11-20
Ashley,Williams,62051,2021-11-22
George,Smith,02063,2021-11-16
Lauren,Cantu,01287,2021-12-01
Matthew,Smith,61036,2021-11-12
Emily,Fisher,31773,2021-11-22
Julie,Baker,61492,2021-11-27
John,Lewis,01890,2021-11-22
Crystal,Barker,62297,2021-11-18
Roger,Davis,31169,2021-11-25
Amy,Martinez,30259,2021-11-28
Gabriel,Johnson,02224,2021-11-13
Alicia,Edwards,02670,2021-12-04
Cameron,Higgins,30972,2021-11-27
Amanda,Riggs,60855,2021-11-20
Jason,King,01802,2021-11-25
Kayla,Marsh,01012,2021-12-05
Karen,Jones,61640,2021-11-26
Renee,Davis,62469,2021-11-20
Kevin,Roach,01812,2021-12-06
Stephanie,Fuller,30059,2021-12-07
Travis,Newton,01221,2021-11-18
Jennifer,Krueger,30088,2021-11-27
Monica,Buchanan,02784,2021-11-18
Maria,Curtis,61477,2021-12-02
Jennifer,Short,30424,2021-11-13
Joe,Gordon,01242,2021-11-21
Holly,Frazier,01233,2021-11-16
Amanda,Manning,31163,2021-11-25
Sandra,Anderson,62248,2021-11-21
Christy,Humphrey,01500,2021-12-06
Derek,Crosby,62774,2021-11-22
Jeffrey,Jackson,61086,2021-12-01
Nancy,Mercado,01198,2021-12-04
Maria,Cruz,02314,2021-11-21
Maria,Camacho,30963,2021-11-24
Christopher,Hebert,30984,2021-11-15
Robert,Gonzales,30340,2021-11-09
Derek,Robertson,01772,2021-12-06
Amanda,Mercer,62299,2021-11-29
Caleb,Adams,30419,2021-12-04
Alexander,Jackson,60888,2021-11-24
Robert,Combs,62709,2021-11-14
Mary,Rose,31563,2021-11-25
Kenneth,Marshall,60646,2021-12-02
Lisa,Richardson,30186,2021-11-24
Ashley,Roberts,30121,2021-11-15
Scott,Ayala,01266,2021-11-10
Michael,Bond,61634,2021-11-25
Steven,Woodard,62124,2021-11-25
Patricia,Beard,01651,2021-11-20
Laura,Smith,30113,2021-11-13
Andrea,Jackson,01383,2021-11-19
Jennifer,Martinez,01014,2021-11-28
Christopher,Mack,60440,2021-11-26
Tom,Simon,31979,2021-12-02
Melissa,Patel,01634,2021-11-13
Daniel,Durham,01490,2021-11-24
Rebecca,Stanley,31697,2021-11-24
Julia,Ramirez,02015,2021-11-12
Cassandra,Robinson,61809,2021-11-26
Angela,Brown,60226,2021-11-16
Richard,Mcdaniel,60398,2021-11-25
Bethany,Wright,31191,2021-11-22
Tammy,James,62931,2021-12-02
Carrie,Scott,31530,2021-12-03
Darren,Nguyen,31251,2021-11-29
Margaret,Kelly,61453,2021-11-18
Alison,Buck,02003,2021-11-22
Jesse,Schwartz,30350,2021-11-25
James,Smith,61344,2021-11-15
Charles,Padilla,02474,2021-12-01
Corey,Lee,60378,2021-11-09
Matthew,Cooper,01518,2021-11-29
Brandon,Miller,02155,2021-11-11
Kaitlyn,Strickland,62176,2021-12-01
Donna,Duffy,01561,2021-12-06
Alan,Smith,31005,2021-12-06
Dale,Murphy,31475,2021-11-17
Jesus,Todd,62726,2021-12-05
Barbara,Carney,01053,2021-11-15
Jill,Stewart,61773,2021-11-24
Michele,Davis,62633,2021-11-24
Ashley,Day,30511,2021-12-02
Daniel,Thomas,60248,2021-11-12
Diana,Crosby,62195,2021-12-07
Olivia,Walsh,60740,2021-11-30
Kyle,Winters,62513,2021-11-25
Michael,Watkins,61880,2021-11-14
Jasmine,Krueger,02406,2021-11-26
Jennifer,Lewis,30097,2021-11-09
Natasha,Hall,62078,2021-12-02
Christopher,Miller,01288,2021-11-13
Shawn,Watson,30549,2021-12-05
Jamie,Martin,01212,2021-11-12
Christopher,Conrad,31477,2021-11-14
Sara,Krueger,62838,2021-11-11
Michelle,Torres,61583,2021-11-15
Kenneth,Kelly,01957,2021-11-18
Ashley,Ward,02626,2021-11-14
Leslie,Landry,01821,2021-11-24
Emily,Herring,31411,2021-11-26
Paula,Schultz,01402,2021-11-13
Kristy,Tyler,01892,2021-11-25
Jason,Duran,62230,2021-11-22
Helen,Sanders,62752,2021-12-06
Anthony,Giles,30900,2021-12-02
Kelly,Hudson,31323,2021-12-01
Jennifer,Yoder,01646,2021-11-12
Stacie,Morrow,02600,2021-11-29
Debbie,Hardy,31738,2021-11-21
Linda,Velazquez,01989,2021-11-30
David,Scott,62078,2021-11-12
Dorothy,Taylor,30267,2021-11-09
Catherine,Anderson,61226,2021-12-06
Alan,Ford,01335,2021-11-19
Raymond,Lopez,02191,2021-11-26
Calvin,Morris,62626,2021-11-19
Timothy,Burnett,31637,2021-11-17
Timothy,Simmons,30362,2021-11-11
Jeffrey,Callahan,02503,2021-11-25
David,Goodwin,30132,2021-11-14
Kevin,Cobb,31989,2021-11-16
Kaitlyn,Taylor,60188,2021-11-09
Pamela,Stevens,01461,2021-12-03
Cody,Camacho,01618,2021-12-07
Natasha,Jones,02363,2021-11-29
Nicholas,Martinez,62101,2021-12-07
Lisa,Kaiser,30328,2021-11-21
Lisa,Wolf,30346,2021-11-28
Erica,Dominguez,01752,2021-11-11
William,Wright,60699,2021-11-21
Connie,Wright,31798,2021-11-17
Travis,Gilbert,01026,2021-12-02
Kyle,Baker,02521,2021-11-19
Trevor,Williams,01833,2021-12-02
Tara,Sanchez,01300,2021-11-15
Jacqueline,Holmes,02251,2021-11-13
Daniel,Lopez,31911,2021-11-14
Karen,Mills,62894,2021-11-19
David,Hendrix,60604,2021-11-09
Regina,Hanson,01451,2021-11-09
Timothy,Harrison,60554,2021-11-17
Julie,Lewis,31890,2021-12-02
Victor,Gutierrez,30873,2021-12-02
George,Hunter,02605,2021-11-22
John,Holloway,02433,2021-11-10
Benjamin,Murphy,30373,2021-11-26
Susan,Barrera,01009,2021-11-30
Jennifer,Smith,60761,2021-12-05
Jessica,Bray,02613,2021-11-17
William,Ray,01945,2021-11-14
Ethan,Martin,62282,2021-12-06
Jessica,Martinez,30753,2021-11-18
John,White,30944,2021-11-22
Sonya,Glass,31420,2021-12-03
Desiree,Cunningham,01785,2021-11-24
Frederick,Nguyen,01552,2021-11-14
Paul,Williams,60619,2021-11-19
Katherine,Harvey,02091,2021-11-14
Derek,Payne,61023,2021-11-13
Jessica,Romero,02176,2021-11-17
Cory,Barker,01004,2021-11-16
Michael,Johnson,30109,2021-12-01
Joseph,Mccullough,02515,2021-11-12
Anita,Winters,30783,2021-11-20
Shane,Hahn,31392,2021-11-28
Derrick,Greer,31353,2021-11-23
Richard,Stephenson,30301,2021-11-22
Laura,Wright,62564,2021-11-14
Kristin,Price,31002,2021-11-16
Michael,Porter,61206,2021-12-07
Joseph,Long,01133,2021-11-17
Walter,Garcia,01236,2021-11-11
Kristen,Turner,31331,2021-11-18
Kimberly,Patterson,30648,2021-11-19
Katherine,Chang,62999,2021-11-12
Pamela,Miller,62808,2021-11-24
Caleb,Hernandez,60357,2021-12-02
Ricardo,Perry,30444,2021-12-02
Jeffery,Norris,61198,2021-12-06
Christina,Valenzuela,61282,2021-11-24
Tara,Erickson,62669,2021-12-06
Raymond,Clark,61282,2021-11-23
Keith,Scott,02191,2021-11-23
Ronald,Rodriguez,30959,2021-11-17
Scott,Todd,60281,2021-11-27
Kevin,Taylor,01003,2021-11-23
Karina,Harris,30336,2021-11-28
Kimberly,Haas,01036,2021-11-22
Tiffany,Wright,62739,2021-11-14
Brian,Todd,31291,2021-11-14
Christopher,Morris,62733,2021-11-18
Kathy,Hart,30256,2021-11-27
John,Martinez,01889,2021-12-03
Jodi,Allen,61493,2021-11-12
Michael,Owens,02405,2021-12-04
Cheryl,Khan,31979,2021-12-07
Amy,Schroeder,60965,2021-11-20
Melissa,Boyd,02327,2021-11-27
Patricia,Yates,31210,2021-12-01
Jonathan,Frank,62262,2021-11-20
Kevin,Thomas,02318,2021-11-09
Ryan,Robertson,62100,2021-11-30
Gregory,Murphy,60864,2021-11-21
Amy,Williams,62697,2021-12-01
Ashley,Santos,02173,2021-11-23
Rachel,Fernandez,62477,2021-11-13
Nathaniel,Reynolds,31503,2021-12-06
Michelle,Carney,31282,2021-11-21
Crystal,Martinez,60327,2021-11-29
Ariel,Vasquez,02036,2021-11-18
Jaime,Gordon,62060,2021-11-30
Patricia,Erickson,31083,2021-12-01
Maxwell,Burke,60805,2021-11-23
Michael,Anthony,31558,2021-11-27
Sandra,Carey,02079,2021-11-28
Sara,Ellis,60688,2021-11-27
Michael,Gonzalez,61906,2021-12-06
Jennifer,Reyes,02423,2021-11-19
Brent,Thomas,02247,2021-12-06
Taylor,Morris,31159,2021-11-14
Kristin,Edwards,61871,2021-11-20
Carla,Holder,01844,2021-11-16
Philip,Munoz,31032,2021-12-01
Stanley,Delgado,60094,2021-11-27
Gerald,Rios,62737,2021-12-07
Courtney,Guerrero,60093,2021-11-12
Philip,Escobar,31916,2021-11-26
Robert,Gonzalez,62722,2021-11-21
Carol,Parker,30722,2021-12-01
Andrew,Rodriguez,30203,2021-11-29
Nicholas,Owens,02084,2021-11-25
Sandra,Wong,01672,2021-11-14
Michael,Martinez,62315,2021-11-16
David,Smith,30769,2021-11-10
Shirley,Cruz,01311,2021-11-09
Teresa,Simmons,30290,2021-11-24
Lisa,Brown,61271,2021-12-07
Nicholas,Callahan,01731,2021-11-26
Joseph,Beck,01976,2021-11-22
Samuel,Thompson,02410,2021-11-18
Lindsey,Hughes,60463,2021-11-09
Tammy,West,62937,2021-11-12
Samantha,Hamilton,30116,2021-11-30
Anne,Barron,31606,2021-11-16
Christopher,Ruiz,30390,2021-12-02
Derrick,Lee,31912,2021-11-13
Thomas,Garcia,62928,2021-11-12
Ryan,Glenn,60539,2021-11-10
Bailey,Avila,62019,2021-11-22
Lisa,Smith,02787,2021-12-06
Gregory,Bonilla,60835,2021-11-16
Michele,Murray,60035,2021-11-16
Christopher,Smith,30653,2021-11-19
Rebecca,Stanley,31514,2021-11-28
Andrew,Cruz,60409,2021-11-24
Gregory,Bush,62726,2021-11-12
Linda,Bullock,31555,2021-11-23
Eric,Foster,31514,2021-11-29
Parker,Atkins,02068,2021-11-09
Thomas,Reyes,61861,2021-11-12
Michael,Hunter,30967,2021-12-01
Barbara,Lee,61421,2021-11-29
Stephanie,Smith,60902,2021-12-03
Melinda,Watson,30397,2021-12-07
Darius,Duncan,30981,2021-11-29
Edwin,Jenkins,02619,2021-11-15
Zachary,Stephenson,61944,2021-11-13
Jessica,Trujillo,01894,2021-11-16
Pamela,Barnes,30760,2021-11-15
Mary,Serrano,30646,2021-11-13
Jackson,Marsh,02218,2021-11-22
Catherine,Hernandez,01382,2021-11-27
Jackie,Munoz,60403,2021-11-10
Brittany,Anderson,31007,2021-11-16
Michael,Shah,01678,2021-11-20
Cynthia,Cain,01041,2021-12-06
James,Wilson,01717,2021-11-10
Cheryl,Li,31350,2021-11-12
Anna,Jordan,60532,2021-11-30
Ian,Hancock,62775,2021-11-26
Kayla,Daniel,01682,2021-11-27
Susan,Downs,62291,2021-12-07
Melissa,Mueller,01288,2021-12-02
Justin,Hall,31632,2021-11-18
Jaclyn,Nichols,02596,2021-11-29
Erica,Miller,02469,2021-11-24
Tyler,Pratt,61343,2021-11-20
Travis,Villa,02077,2021-11-16
Stephanie,Mckinney,31188,2021-11-18
Sabrina,Ross,60921,2021-12-02
Julie,Frost,30270,2021-11-22
Leah,Hall,01054,2021-11-20
Patrick,Gomez,01503,2021-11-09
Eileen,Harris,02479,2021-11-11
Frank,Nelson,01689,2021-11-17
Ariel,Hendricks,02398,2021-12-02
Andrew,Stewart,02557,2021-12-02
Jeremiah,Acosta,61787,2021-12-07
Lisa,Kline,31326,2021-11-25
Jonathan,Greene,01266,2021-12-01
Michael,Mosley,60839,2021-11-20
Marisa,Williams,02104,2021-12-04
Daniel,Brown,60688,2021-12-03
Matthew,Garcia,61989,2021-11-28
Steven,Burnett,31163,2021-11-24
Robert,Martin,02060,2021-11-21
Michelle,Andrade,01360,2021-11-11
Robert,Baird,61366,2021-11-16
Anthony,Rosales,30936,2021-11-12
William,Mcdaniel,02038,2021-12-04
Tina,Matthews,01279,2021-11-25
Claudia,Gonzalez,31458,2021-12-02
Cheryl,Elliott,61685,2021-11-17
Diana,Frazier,02346,2021-12-05
Randall,Porter,30711,2021-12-01
Michael,Bennett,31537,2021-12-07
Christina,Pollard,01015,2021-12-06
Alan,Price,01852,2021-12-05
Sierra,Ortiz,02415,2021-12-01
Jose,Fuller,60438,2021-11-22
Keith,Thompson,01718,2021-11-20
Donna,Dodson,62803,2021-11-19
Heather,Hill,02408,2021-12-07
Alexander,Mcgee,31462,2021-11-10
Michael,Nguyen,02050,2021-12-03
Michael,Lee,30596,2021-11-21
Bryan,Rodriguez,31062,2021-12-02
Cindy,West,31298,2021-12-07
Brett,Bryant,30116,2021-11-19
Abigail,Wagner,02184,2021-12-05
Edward,Torres,01574,2021-11-17
Elizabeth,Steele,31029,2021-12-01
Monique,Blair,31174,2021-11-14
Rebecca,Gallegos,30073,2021-11-12
Jasmine,Chapman,62953,2021-11-09
Kenneth,Francis,61324,2021-11-22
Misty,Lopez,62384,2021-11-22
Zachary,Johnson,01346,2021-12-01
Nathan,Lopez,02719,2021-12-01
Christopher,Green,62277,2021-12-04
Jeffrey,Smith,31634,2021-11-16
Elizabeth,Hernandez,01947,2021-11-12
Anna,Henry,01988,2021-11-28
Scott,Eaton,02467,2021-11-13
Allen,Weeks,31600,2021-11-23
Brooke,Harrison,01178,2021-11-21
Kelly,Moore,61320,2021-12-06
Edward,Johnston,01351,2021-12-02
Mark,Conner,60993,2021-11-29
Alicia,Brown,61090,2021-12-05
Brenda,Wilson,02158,2021-11-11
Robin,Norris,30363,2021-11-23
Maria,Foster,61599,2021-11-09
Richard,Bailey,62018,2021-11-11
Kristina,Richmond,31578,2021-11-30
Lynn,Pratt,30327,2021-11-16
Cheryl,Duran,01184,2021-12-05
Stephanie,Middleton,31766,2021-11-11
Michael,Warren,30894,2021-12-05
Heather,George,62463,2021-11-25
Timothy,Horton,62894,2021-12-03
Neil,Lee,31697,2021-12-06
Robert,Mitchell,61838,2021-11-26
Erica,Ferrell,31232,2021-11-28
Amanda,Turner,01637,2021-11-09
Anthony,Garcia,02659,2021-11-30
Robert,Allen,30213,2021-11-19
Christian,Smith,01369,2021-11-26
Timothy,Mosley,62329,2021-11-14
Andrew,Hopkins,31387,2021-11-11
Courtney,Hayden,61976,2021-11-27
Sandra,Bowers,01508,2021-11-25
Timothy,Rodriguez,31381,2021-11-15
Pamela,Rodriguez,61293,2021-12-01
Maureen,Murray,01482,2021-11-21
George,Roberts,30016,2021-12-07
Deanna,Turner,61323,2021-11-12
David,Hobbs,31798,2021-12-01
Ashley,Dennis,31926,2021-11-26
Daniel,Johnson,02193,2021-11-28
Michael,Jenkins,61884,2021-11-19
Gerald,Wilson,61418,2021-12-06
Nathan,Kirby,30260,2021-12-06
Melissa,Forbes,31553,2021-11-23
Kelly,Fernandez,01585,2021-11-30
Jacob,Jacobs,31067,2021-11-25
Donna,Alvarez,31609,2021-11-27
Tiffany,Garcia,61403,2021-11-16
Jessica,Castillo,02211,2021-12-03
Sheri,Koch,31702,2021-11-18
Victoria,Benitez,30121,2021-11-12
Robert,Robinson,01940,2021-12-07
Ryan,Weiss,01254,2021-12-07
Amanda,Ferguson,02620,2021-11-15
Janet,Kelly,62970,2021-11-25
Meagan,Mitchell,62976,2021-11-12
Francisco,Sherman,61948,2021-11-19
Alexander,Moon,01042,2021-12-03
Omar,Young,02768,2021-11-11
